Timestamp;my-wallet-n-users
08/10/2018;29098348
08/10/2018;29111207
09/10/2018;29119246
09/10/2018;29130908
10/10/2018;29135801
10/10/2018;29155850
11/10/2018;29167077
11/10/2018;29179597
12/10/2018;29200751
12/10/2018;29211717
13/10/2018;29223051
13/10/2018;29226740
13/10/2018;29240192
14/10/2018;29246365
14/10/2018;29258687
15/10/2018;29275607
15/10/2018;29283371
16/10/2018;29302071
16/10/2018;29315397
17/10/2018;29329975
17/10/2018;29334632
18/10/2018;29349755
18/10/2018;29369626
18/10/2018;29381766
19/10/2018;29388957
19/10/2018;29409421
20/10/2018;29423487
20/10/2018;29439545
21/10/2018;29448174
21/10/2018;29459359
22/10/2018;29476908
22/10/2018;29493113
23/10/2018;29503695
23/10/2018;29527793
24/10/2018;29532610
24/10/2018;29550182
24/10/2018;29558062
25/10/2018;29567762
25/10/2018;29593333
26/10/2018;29603039
26/10/2018;29626751
27/10/2018;29639669
27/10/2018;29659207
28/10/2018;29662973
28/10/2018;29674045
29/10/2018;29680311
29/10/2018;29697548
29/10/2018;29714480
30/10/2018;29722039
30/10/2018;29737907
31/10/2018;29755726
31/10/2018;29770639
01/11/2018;29781644
01/11/2018;29806870
02/11/2018;29812097
02/11/2018;29839110
03/11/2018;29841318
03/11/2018;29858742
03/11/2018;29871910
04/11/2018;29880952
04/11/2018;29893123
05/11/2018;29897874
05/11/2018;29921976
06/11/2018;29927204
06/11/2018;29957990
07/11/2018;29973383
07/11/2018;30017497
08/11/2018;30043545
08/11/2018;30077554
09/11/2018;30123468
09/11/2018;30133865
09/11/2018;30176515
10/11/2018;30186893
10/11/2018;30228506
11/11/2018;30243951
11/11/2018;30271670
12/11/2018;30305116
12/11/2018;30314311
13/11/2018;30340381
13/11/2018;30361989
14/11/2018;30382233
14/11/2018;30402217
14/11/2018;30431545
15/11/2018;30484071
15/11/2018;30497749
16/11/2018;30530642
16/11/2018;30547297
17/11/2018;30571025
17/11/2018;30579721
18/11/2018;30603808
18/11/2018;30628676
19/11/2018;30638824
19/11/2018;30667943
20/11/2018;30680119
20/11/2018;30716515
20/11/2018;30733701
21/11/2018;30781813
21/11/2018;30805553
22/11/2018;30821283
22/11/2018;30848044
23/11/2018;30861428
23/11/2018;30887305
24/11/2018;30893557
24/11/2018;30925732
25/11/2018;30936912
25/11/2018;30950004
25/11/2018;30969627
26/11/2018;30977870
26/11/2018;31008698
27/11/2018;31019559
27/11/2018;31043047
28/11/2018;31069280
28/11/2018;31081525
29/11/2018;31100440
29/11/2018;31109185
30/11/2018;31122710
30/11/2018;31133195
01/12/2018;31142207
01/12/2018;31156447
01/12/2018;31161278
02/12/2018;31179224
02/12/2018;31188869
03/12/2018;31206534
03/12/2018;31215210
04/12/2018;31223187
04/12/2018;31243161
05/12/2018;31253090
05/12/2018;31265684
06/12/2018;31276102
06/12/2018;31295678
06/12/2018;31298604
07/12/2018;31316137
07/12/2018;31331289
08/12/2018;31336330
08/12/2018;31358366
09/12/2018;31363228
09/12/2018;31375074
10/12/2018;31378935
10/12/2018;31390459
11/12/2018;31401643
11/12/2018;31405807
12/12/2018;31422703
12/12/2018;31429407
12/12/2018;31443943
13/12/2018;31457856
13/12/2018;31474495
14/12/2018;31487752
14/12/2018;31496427
15/12/2018;31506165
15/12/2018;31516853
16/12/2018;31534331
16/12/2018;31543382
17/12/2018;31553828
17/12/2018;31564463
17/12/2018;31576966
18/12/2018;31590097
18/12/2018;31600471
19/12/2018;31618557
19/12/2018;31626688
20/12/2018;31635631
20/12/2018;31647258
21/12/2018;31650899
21/12/2018;31663887
22/12/2018;31669932
22/12/2018;31686106
23/12/2018;31692137
23/12/2018;31710311
23/12/2018;31724753
24/12/2018;31739997
24/12/2018;31751783
25/12/2018;31753828
25/12/2018;31765705
26/12/2018;31771555
26/12/2018;31780906
27/12/2018;31810101
27/12/2018;31817708
28/12/2018;31828699
28/12/2018;31834894
28/12/2018;31842640
29/12/2018;31847496
29/12/2018;31857891
30/12/2018;31879953
30/12/2018;31884658
31/12/2018;31894081
31/12/2018;31906385
01/01/2019;31915864
01/01/2019;31920413
02/01/2019;31928457
02/01/2019;31943436
03/01/2019;31955907
03/01/2019;31969197
03/01/2019;31978831
04/01/2019;32050012
04/01/2019;32075490
05/01/2019;32118203
05/01/2019;32127367
06/01/2019;32131361
06/01/2019;32141320
07/01/2019;32143141
07/01/2019;32167512
08/01/2019;32178353
08/01/2019;32188996
08/01/2019;32201386
09/01/2019;32205068
09/01/2019;32218090
10/01/2019;32224172
10/01/2019;32251969
11/01/2019;32256440
11/01/2019;32265548
12/01/2019;32274243
12/01/2019;32287794
13/01/2019;32305283
13/01/2019;32311110
14/01/2019;32317279
14/01/2019;32325020
14/01/2019;32350802
15/01/2019;32361063
15/01/2019;32371819
16/01/2019;32418226
16/01/2019;32429364
17/01/2019;32452523
17/01/2019;32460799
18/01/2019;32469793
18/01/2019;32476244
19/01/2019;32484923
19/01/2019;32497585
19/01/2019;32512090
20/01/2019;32527239
20/01/2019;32541686
21/01/2019;32558596
21/01/2019;32565008
